"cell","IPCC","IPCC_reduced"
"AUS.53671","tropical_dry","tropical_dry"
"AUS.53672","tropical_moist","tropical_moist"
"AUS.53673","tropical_moist","tropical_moist"
"AUS.53675","warm_temperate_dry","temperate_dry"
"AUS.53676","tropical_dry","tropical_dry"
"AUS.53677","tropical_dry","tropical_dry"
"AUS.53678","tropical_dry","tropical_dry"
"AUS.53679","tropical_dry","tropical_dry"
"AUS.53680","tropical_dry","tropical_dry"
"AUS.53681","tropical_dry","tropical_dry"
"AUS.53682","tropical_dry","tropical_dry"
"AUS.53683","tropical_dry","tropical_dry"
"AUS.53684","tropical_dry","tropical_dry"
"AUS.53685","tropical_dry","tropical_dry"
"AUS.53686","tropical_dry","tropical_dry"
"AUS.53687","tropical_dry","tropical_dry"
"AUS.53688","tropical_dry","tropical_dry"
"AUS.53689","tropical_dry","tropical_dry"
"AUS.53690","tropical_dry","tropical_dry"
"AUS.53691","tropical_dry","tropical_dry"
"AUS.53692","tropical_dry","tropical_dry"
"AUS.53693","tropical_dry","tropical_dry"
"AUS.53694","tropical_dry","tropical_dry"
"AUS.53695","tropical_dry","tropical_dry"
"AUS.53696","tropical_dry","tropical_dry"
"AUS.53697","tropical_dry","tropical_dry"
"AUS.53698","tropical_dry","tropical_dry"
"AUS.53699","tropical_dry","tropical_dry"
"AUS.53700","tropical_dry","tropical_dry"
"AUS.53701","tropical_dry","tropical_dry"
"AUS.53702","tropical_dry","tropical_dry"
"AUS.53703","tropical_dry","tropical_dry"
"AUS.53704","tropical_dry","tropical_dry"
"AUS.53705","tropical_dry","tropical_dry"
"AUS.53706","tropical_dry","tropical_dry"
"AUS.53707","tropical_dry","tropical_dry"
"AUS.53708","tropical_dry","tropical_dry"
"AUS.53709","tropical_moist","tropical_moist"
"AUS.53710","tropical_moist","tropical_moist"
"AUS.53711","tropical_moist","tropical_moist"
"AUS.53712","tropical_moist","tropical_moist"
"AUS.53716","warm_temperate_dry","temperate_dry"
"AUS.53717","tropical_dry","tropical_dry"
"AUS.53718","tropical_dry","tropical_dry"
"AUS.53719","tropical_dry","tropical_dry"
"AUS.53720","tropical_dry","tropical_dry"
"AUS.53721","tropical_dry","tropical_dry"
"AUS.53722","tropical_dry","tropical_dry"
"AUS.53723","tropical_dry","tropical_dry"
"AUS.53724","tropical_dry","tropical_dry"
"AUS.53725","tropical_dry","tropical_dry"
"AUS.53726","tropical_dry","tropical_dry"
"AUS.53727","tropical_dry","tropical_dry"
"AUS.53728","tropical_dry","tropical_dry"
"AUS.53729","tropical_dry","tropical_dry"
"AUS.53730","tropical_dry","tropical_dry"
"AUS.53731","tropical_dry","tropical_dry"
"AUS.53732","tropical_dry","tropical_dry"
"AUS.53733","tropical_dry","tropical_dry"
"AUS.53734","tropical_dry","tropical_dry"
"AUS.53735","tropical_dry","tropical_dry"
"AUS.53736","tropical_dry","tropical_dry"
"AUS.53737","tropical_dry","tropical_dry"
"AUS.53738","tropical_dry","tropical_dry"
"AUS.53739","tropical_dry","tropical_dry"
"AUS.53740","tropical_dry","tropical_dry"
"AUS.53741","tropical_dry","tropical_dry"
"AUS.53742","tropical_dry","tropical_dry"
"AUS.53743","tropical_dry","tropical_dry"
"AUS.53744","tropical_dry","tropical_dry"
"AUS.53745","tropical_dry","tropical_dry"
"AUS.53746","tropical_dry","tropical_dry"
"AUS.53747","tropical_dry","tropical_dry"
"AUS.53748","tropical_dry","tropical_dry"
"AUS.53749","tropical_dry","tropical_dry"
"AUS.53750","tropical_moist","tropical_moist"
"AUS.53751","tropical_moist","tropical_moist"
"AUS.53752","tropical_moist","tropical_moist"
"AUS.53753","tropical_moist","tropical_moist"
"AUS.53754","tropical_moist","tropical_moist"
"AUS.53761","tropical_dry","tropical_dry"
"AUS.53762","tropical_dry","tropical_dry"
"AUS.53763","tropical_dry","tropical_dry"
"AUS.53764","tropical_dry","tropical_dry"
"AUS.53765","tropical_dry","tropical_dry"
"AUS.53766","tropical_dry","tropical_dry"
"AUS.53767","tropical_dry","tropical_dry"
"AUS.53768","tropical_dry","tropical_dry"
"AUS.53769","tropical_dry","tropical_dry"
"AUS.53770","tropical_dry","tropical_dry"
"AUS.53771","tropical_dry","tropical_dry"
"AUS.53772","tropical_dry","tropical_dry"
"AUS.53773","tropical_dry","tropical_dry"
"AUS.53774","tropical_dry","tropical_dry"
"AUS.53775","tropical_dry","tropical_dry"
"AUS.53776","tropical_dry","tropical_dry"
"AUS.53777","tropical_dry","tropical_dry"
"AUS.53778","tropical_dry","tropical_dry"
"AUS.53779","tropical_dry","tropical_dry"
"AUS.53780","tropical_dry","tropical_dry"
"AUS.53781","tropical_dry","tropical_dry"
"AUS.53782","tropical_dry","tropical_dry"
"AUS.53783","tropical_dry","tropical_dry"
"AUS.53784","tropical_dry","tropical_dry"
"AUS.53785","tropical_dry","tropical_dry"
"AUS.53786","tropical_dry","tropical_dry"
"AUS.53787","tropical_dry","tropical_dry"
"AUS.53788","tropical_dry","tropical_dry"
"AUS.53789","tropical_dry","tropical_dry"
"AUS.53790","tropical_dry","tropical_dry"
"AUS.53791","tropical_dry","tropical_dry"
"AUS.53792","tropical_dry","tropical_dry"
"AUS.53793","tropical_dry","tropical_dry"
"AUS.53794","tropical_dry","tropical_dry"
"AUS.53795","tropical_moist","tropical_moist"
"AUS.53796","tropical_moist","tropical_moist"
"AUS.53797","tropical_moist","tropical_moist"
"AUS.53798","tropical_moist","tropical_moist"
"AUS.53799","tropical_moist","tropical_moist"
"AUS.53800","tropical_moist","tropical_moist"
"AUS.53801","tropical_moist","tropical_moist"
"AUS.53807","warm_temperate_dry","temperate_dry"
"AUS.53808","tropical_dry","tropical_dry"
