Category,CountryA3,Sector
manufacturing,AUS,Household electrical applicances repair and service
manufacturing,AUS,Human-made fibres
manufacturing,AUS,Industrial machinery and equipment
manufacturing,AUS,Inks
manufacturing,AUS,Iron and steel semi-manufactures
manufacturing,AUS,Jewellerey
manufacturing,AUS,Knitting mill products
manufacturing,AUS,Lawn mowers
manufacturing,AUS,"Machinery for crushing, grinding, mixing"
manufacturing,AUS,Mattresses
manufacturing,AUS,Mining or drilling machinery and parts
manufacturing,AUS,Miscellaneous manufacturing
manufacturing,AUS,Motor vehicle hire
manufacturing,AUS,Motor vehicle parts
manufacturing,AUS,Munitions
manufacturing,AUS,Non-ferrous non-aluminium semi-manufactures
manufacturing,AUS,Non-metallic mineral products
manufacturing,AUS,Paints
manufacturing,AUS,Pharmaceutical goods for human use
manufacturing,AUS,Photographic and scientific equipment
manufacturing,AUS,Plaster boards and plaster
manufacturing,AUS,Plastic products
manufacturing,AUS,Prefabricated buildings
manufacturing,AUS,Pumps
manufacturing,AUS,Railway equipment
manufacturing,AUS,Ready-mixed concrete
manufacturing,AUS,Reinforcing rods
manufacturing,AUS,Retreading strips
manufacturing,AUS,Room air conditioning
manufacturing,AUS,Rubber products
manufacturing,AUS,Sheet metal furniture
manufacturing,AUS,Sheet metal products
manufacturing,AUS,Ships and boat repairing
manufacturing,AUS,Ships and boats
manufacturing,AUS,Soap and other detergents
manufacturing,AUS,"Space heaters, electric"
manufacturing,AUS,"Space heaters, gas"
manufacturing,AUS,Spectacles and sunglasses
manufacturing,AUS,Structural metal products
manufacturing,AUS,Structural metal products repairing
manufacturing,AUS,Surgical and medical
manufacturing,AUS,Textile and canvas bags
manufacturing,AUS,Textile finishing
manufacturing,AUS,Textile products
manufacturing,AUS,"Tillage, seeding, planting and fertilising equipment"
manufacturing,AUS,Trucks
manufacturing,AUS,Tyres
manufacturing,AUS,"Water heater, electric"
manufacturing,AUS,"Water heater, non-electric"
manufacturing,AUS,"Water heater, solar"
milling,AUS,Bread and bread rolls
milling,AUS,Cakes
milling,AUS,Flour mill products
milling,AUS,Pasta
milling,AUS,"Pies, cakes, biscuits"
milling,AUS,Plain flour
milling,AUS,Rice products
milling,AUS,Self-raising flour
oilcrops,AUS,Oilseeds
oils,AUS,Butter oil
oils,AUS,Oils and fats
others,AUS,Fruit
others,AUS,Grapes for wine
others,AUS,Hops
others,AUS,Vegetables
pesticides,AUS,"Pesticides, insecticides and medicinal goods"
Primary Inputs_Compensation of employees D_1,AUS,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,AUS,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,AUS,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,AUS,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,AUS,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,AUS,Primary Inputs_Taxes on production D_29
primary non-agricultural products,AUS,Alumina
primary non-agricultural products,AUS,Aluminium
primary non-agricultural products,AUS,Clays
primary non-agricultural products,AUS,Copper concentrates and ores
primary non-agricultural products,AUS,"Copper, silver, lead, zinc"
primary non-agricultural products,AUS,Dimension stone
primary non-agricultural products,AUS,"Gemstones, gypsum, silica"
primary non-agricultural products,AUS,Gold
primary non-agricultural products,AUS,Gravel
primary non-agricultural products,AUS,Ground minerals
primary non-agricultural products,AUS,Ilmenite and Leucoxene
primary non-agricultural products,AUS,Iron ores
primary non-agricultural products,AUS,Lead ores
primary non-agricultural products,AUS,Limestone
primary non-agricultural products,AUS,Manganese ores
primary non-agricultural products,AUS,Mineral sands
primary non-agricultural products,AUS,Nickel
primary non-agricultural products,AUS,Nickel ores
primary non-agricultural products,AUS,Non-ferrous ores
primary non-agricultural products,AUS,Phosphate rock
primary non-agricultural products,AUS,Precious metals
primary non-agricultural products,AUS,Salt
primary non-agricultural products,AUS,Sand
primary non-agricultural products,AUS,Silver and zinc ores
primary non-agricultural products,AUS,Tin ores
primary non-agricultural products,AUS,Uranium ores
primary non-agricultural products,AUS,Worked monumental or building stone
public infrastructure,AUS,Bus and tramway
public infrastructure,AUS,Electricity supply
public infrastructure,AUS,Gas supply
public infrastructure,AUS,Railway passenger transport services
public services,AUS,Federal government
public services,AUS,Local government
public services,AUS,Public liability
public services,AUS,Roads and bridges
public services,AUS,State government
puls_pro,AUS,Legumes
remaining,AUS,Flowers
remaining,AUS,Leather products
remaining,AUS,Natural rubber
remaining,AUS,Shorn wool
remaining,AUS,Tobacco
remaining,AUS,Wool fabrics
remaining,AUS,Wool scouring
research,AUS,Education
research,AUS,Market research and other business management services
research,AUS,Research and meteorology services
rice_pro,AUS,Rice
services,AUS,Accommodation
services,AUS,Accounting services
services,AUS,Advertising services
services,AUS,Advertising signs
services,AUS,Air conditioning
services,AUS,Architectural services
services,AUS,Banking
services,AUS,Business machines and equipment repairing and services
services,AUS,Business services
services,AUS,Cleaning
services,AUS,Collecting and credit reporting
services,AUS,Community health centres
services,AUS,Community services and religious organisations
services,AUS,Corrective centres
services,AUS,Courier services
services,AUS,Creative arts
services,AUS,Customs agencies
services,AUS,Data processing services
services,AUS,Defence
services,AUS,Domestic telecommunication services
services,AUS,Employment placement
services,AUS,Entertainment
services,AUS,Fire brigade
services,AUS,Forwarding agencies
services,AUS,Gambling
services,AUS,"GPs, dentists, optometrists, ambulance"
services,AUS,Health insurance
services,AUS,Hospitals and nursing homes
services,AUS,"Hotels, clubs, restaurants and cafes"
services,AUS,Industrial machinery repairs
services,AUS,Insurance
services,AUS,Interest groups and community organisations
services,AUS,Judicial services
services,AUS,Legal services
services,AUS,"Library, museum and art gallery services"
services,AUS,Life insurance
services,AUS,Lottery
services,AUS,Motion pictures
services,AUS,Motor vehicle and lawn mower repairs
services,AUS,Motor vehicle repairing
services,AUS,Music and theatre production
services,AUS,News reporting
services,AUS,Newspaper advertising
services,AUS,Newspapers
services,AUS,Non-bank finance
services,AUS,Non-building construction
services,AUS,Non-building repair
services,AUS,Overseas communication services and Pay TV
services,AUS,Packing
services,AUS,Parking services
services,AUS,"Parks, botanical gardens and zoos"
services,AUS,Periodicals
services,AUS,Personal services
services,AUS,Pest control
services,AUS,Photographic film processing 
services,AUS,"Plant leasing, hiring and renting services"
services,AUS,Police
services,AUS,Postal services
services,AUS,Printing and stationery
services,AUS,Property operator and developer services
services,AUS,Property services
services,AUS,Radio and television stations
services,AUS,Railway equipment repairing
services,AUS,Real estate agent services
services,AUS,Recorded media and publishing
services,AUS,Retail repair and service
services,AUS,Rutile
services,AUS,Sanitary and garbage disposal
services,AUS,Security and investigation
services,AUS,Security broking and dealing
services,AUS,Services to finance and investment
services,AUS,Services to fishing and squid jigging
services,AUS,Services to insurance
services,AUS,Services to mining
services,AUS,Skins and other agricultural services
services,AUS,"Sport and recreation services (incl horse and dog racing, sports grounds, services)"
services,AUS,Storage
services,AUS,Surveying services
services,AUS,TAB agencies
services,AUS,Taxi and hire car
services,AUS,Technical services
services,AUS,Travel and tourist agency services
services,AUS,"Typing, copying and mailing"
services,AUS,Veterinary services
services,AUS,Wholesale repair and servicing
sugar,AUS,Refined sugar
sugr_cane,AUS,Sugar cane
transport,AUS,Air and space transport
transport,AUS,Pipeline transport
transport,AUS,Railway freight transport services
transport,AUS,Re-import
transport,AUS,Retail trade
transport,AUS,Road freight 
transport,AUS,Road freight forwarding
transport,AUS,Services to air transport
transport,AUS,Services to road transport
transport,AUS,Services to water transport
transport,AUS,Trade advertising
transport,AUS,Transport services
transport,AUS,Water transport
transport,AUS,Wholesale trade
water,AUS,Irrigation equipment
water,AUS,Water supply; sewerage and drainage services
wood processing,AUS,Joinery products
wood processing,AUS,Manufactured wood
wood processing,AUS,Paper containers
wood processing,AUS,Paper products
wood processing,AUS,"Pulp, paper and paperboard"
wood processing,AUS,Sawmill products
wood processing,AUS,Undressed resawn timber
wood processing,AUS,Undressed sawn timber
wood processing,AUS,Wooden furniture
agriculture,AUT,"Products of agriculture, hunting and related services"
chemicals,AUT,"Chemicals, chemical products and man-made fibres"
fishery,AUT,Fish and other fishing products; services incidental of fishing
food processing,AUT,Food products and beverages
food processing,AUT,Tobacco products
forestry,AUT,"Products of forestry, logging and related services"
fuel,AUT,Coal and lignite; peat
fuel,AUT,"Coke, refined petroleum products and nuclear fuels"
fuel,AUT,Crude petroleum and natural gas; services incidental to oil and gas extraction excluding surveying
manufacturing,AUT,Computer and related services
manufacturing,AUT,Electrical machinery and apparatus n_e_c_
manufacturing,AUT,"Fabricated metal products, except machinery and equipment"
manufacturing,AUT,Furniture; other manufactured goods n_e_c_
manufacturing,AUT,Machinery and equipment n_e_c_
manufacturing,AUT,"Medical, precision and optical instruments, watches and clocks"
manufacturing,AUT,"Motor vehicles, trailers and semi-trailers"
manufacturing,AUT,Office machinery and computers
manufacturing,AUT,Other non-metallic mineral products
manufacturing,AUT,Printed matter and recorded media
manufacturing,AUT,"Radio, television and communication equipment and apparatus"
manufacturing,AUT,Rubber and plastic products
manufacturing,AUT,Secondary raw materials
manufacturing,AUT,Textiles
Primary Inputs_Compensation of employees D_1,AUT,Primary Inputs_Compensation of employees D_1
Primary Inputs_Consumption of fixed capital K_1,AUT,Primary Inputs_Consumption of fixed capital K_1
Primary Inputs_Net mixed income B_3n,AUT,Primary Inputs_Net mixed income B_3n
Primary Inputs_Net operating surplus B_2n,AUT,Primary Inputs_Net operating surplus B_2n
Primary Inputs_Subsidies on production D_39,AUT,Primary Inputs_Subsidies on production D_39
Primary Inputs_Taxes on production D_29,AUT,Primary Inputs_Taxes on production D_29
primary non-agricultural products,AUT,Basic metals
primary non-agricultural products,AUT,Metal ores
primary non-agricultural products,AUT,Other mining and quarrying products
primary non-agricultural products,AUT,Uranium and thorium ores
public services,AUT,Public administration and defence services; compulsory social security services
remaining,AUT,Leather and leather products
remaining,AUT,Wearing apparel; furs
research,AUT,Education services
research,AUT,Research and development services
services,AUT,Air transport services
services,AUT,Construction work
services,AUT,"Financial intermediation services, except insurance and pension funding services"
services,AUT,FISIM
services,AUT,Health and social work services
services,AUT,Hotel and restaurant services
services,AUT,"Insurance and pension funding services, except compulsory social security services"
services,AUT,Membership organisation services n_e_c_
services,AUT,Other business services
services,AUT,Other services
services,AUT,Post and telecommunication services
services,AUT,Private households with employed persons
services,AUT,Real estate services
services,AUT,"Recreational, cultural and sporting services"
services,AUT,Renting services of machinery and equipment without operator and of personal and household goods
services,AUT,Services auxiliary to financial intermediation
services,AUT,"Sewage and refuse disposal services, sanitation and similar services"
transport,AUT,Land transport; transport via pipeline services
transport,AUT,Other transport equipment
transport,AUT,Re-export
transport,AUT,"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
transport,AUT,Supporting and auxiliary transport services; travel agency services
transport,AUT,"Trade, maintenance and repair services of motor vehicles and motorcycles; retail sale of automotive fuel"
transport,AUT,Water transport services
